20230902
Seconds MEASURES_ws(m/s) MNH_WS_30m(m/s) PERSISTENCE(m/s) Date_of_forecast Date_of_computing
44400 14.83279 12.99203 15.15000 "2023-09-02 18:20:00" "2023-09-02 18:10:00"
44400 14.83279 12.99203 14.56400 "2023-09-02 18:20:00" "2023-09-02 18:20:00"
44400 14.83279 12.99203 14.30100 "2023-09-02 18:20:00" "2023-09-02 17:30:00"
44400 14.83279 12.99203 15.24700 "2023-09-02 18:20:00" "2023-09-02 17:40:00"
44400 14.83279 12.99203 15.28300 "2023-09-02 18:20:00" "2023-09-02 17:50:00"
44400 14.83279 12.99203 14.53100 "2023-09-02 18:20:00" "2023-09-02 18:00:00"
44400 14.83279 12.99203 15.15000 "2023-09-02 18:20:00" "2023-09-02 18:10:00"
44400 14.83279 12.99203 14.56400 "2023-09-02 18:20:00" "2023-09-02 18:20:00"
45000 14.80982 12.50671 15.24700 "2023-09-02 18:30:00" "2023-09-02 17:40:00"
45000 14.80982 12.50671 15.28300 "2023-09-02 18:30:00" "2023-09-02 17:50:00"
45000 14.80982 12.50671 14.53100 "2023-09-02 18:30:00" "2023-09-02 18:00:00"
45000 14.80982 12.50671 15.15000 "2023-09-02 18:30:00" "2023-09-02 18:10:00"
45000 14.80982 12.50671 14.56400 "2023-09-02 18:30:00" "2023-09-02 18:20:00"
45000 14.80982 12.50671 14.18200 "2023-09-02 18:30:00" "2023-09-02 18:30:00"
45000 14.80982 12.50671 15.24700 "2023-09-02 18:30:00" "2023-09-02 17:40:00"
45000 14.80982 12.50671 15.28300 "2023-09-02 18:30:00" "2023-09-02 17:50:00"
45000 14.80982 12.50671 14.53100 "2023-09-02 18:30:00" "2023-09-02 18:00:00"
45000 14.80982 12.50671 15.15000 "2023-09-02 18:30:00" "2023-09-02 18:10:00"
45000 14.80982 12.50671 14.56400 "2023-09-02 18:30:00" "2023-09-02 18:20:00"
45000 14.80982 12.50671 14.18200 "2023-09-02 18:30:00" "2023-09-02 18:30:00"
45000 14.80982 12.50671 15.24700 "2023-09-02 18:30:00" "2023-09-02 17:40:00"
45000 14.80982 12.50671 15.28300 "2023-09-02 18:30:00" "2023-09-02 17:50:00"
45000 14.80982 12.50671 14.53100 "2023-09-02 18:30:00" "2023-09-02 18:00:00"
45000 14.80982 12.50671 15.15000 "2023-09-02 18:30:00" "2023-09-02 18:10:00"
45000 14.80982 12.50671 14.56400 "2023-09-02 18:30:00" "2023-09-02 18:20:00"
45000 14.80982 12.50671 14.18200 "2023-09-02 18:30:00" "2023-09-02 18:30:00"
45000 14.80982 12.50671 15.24700 "2023-09-02 18:30:00" "2023-09-02 17:40:00"
45000 14.80982 12.50671 15.28300 "2023-09-02 18:30:00" "2023-09-02 17:50:00"
45000 14.80982 12.50671 14.53100 "2023-09-02 18:30:00" "2023-09-02 18:00:00"
45000 14.80982 12.50671 15.15000 "2023-09-02 18:30:00" "2023-09-02 18:10:00"
45000 14.80982 12.50671 14.56400 "2023-09-02 18:30:00" "2023-09-02 18:20:00"
45000 14.80982 12.50671 14.18200 "2023-09-02 18:30:00" "2023-09-02 18:30:00"
45000 14.80982 12.50671 15.24700 "2023-09-02 18:30:00" "2023-09-02 17:40:00"
45000 14.80982 12.50671 15.28300 "2023-09-02 18:30:00" "2023-09-02 17:50:00"
45000 14.80982 12.50671 14.53100 "2023-09-02 18:30:00" "2023-09-02 18:00:00"
45000 14.80982 12.50671 15.15000 "2023-09-02 18:30:00" "2023-09-02 18:10:00"
45000 14.80982 12.50671 14.56400 "2023-09-02 18:30:00" "2023-09-02 18:20:00"
45000 14.80982 12.50671 14.18200 "2023-09-02 18:30:00" "2023-09-02 18:30:00"
45000 14.80982 12.50671 15.24700 "2023-09-02 18:30:00" "2023-09-02 17:40:00"
45000 14.80982 12.50671 15.28300 "2023-09-02 18:30:00" "2023-09-02 17:50:00"
45000 14.80982 12.50671 14.53100 "2023-09-02 18:30:00" "2023-09-02 18:00:00"
45000 14.80982 12.50671 15.15000 "2023-09-02 18:30:00" "2023-09-02 18:10:00"
45000 14.80982 12.50671 14.56400 "2023-09-02 18:30:00" "2023-09-02 18:20:00"
45000 14.80982 12.50671 14.18200 "2023-09-02 18:30:00" "2023-09-02 18:30:00"
45600 14.68479 12.47075 15.28300 "2023-09-02 18:40:00" "2023-09-02 17:50:00"
45600 14.68479 12.47075 14.53100 "2023-09-02 18:40:00" "2023-09-02 18:00:00"
45600 14.68479 12.47075 15.15000 "2023-09-02 18:40:00" "2023-09-02 18:10:00"
45600 14.68479 12.47075 14.56400 "2023-09-02 18:40:00" "2023-09-02 18:20:00"
45600 14.68479 12.47075 14.18200 "2023-09-02 18:40:00" "2023-09-02 18:30:00"
45600 14.68479 12.47075 14.83800 "2023-09-02 18:40:00" "2023-09-02 18:40:00"
45600 14.68479 12.47075 15.28300 "2023-09-02 18:40:00" "2023-09-02 17:50:00"
45600 14.68479 12.47075 14.53100 "2023-09-02 18:40:00" "2023-09-02 18:00:00"
45600 14.68479 12.47075 15.15000 "2023-09-02 18:40:00" "2023-09-02 18:10:00"
45600 14.68479 12.47075 14.56400 "2023-09-02 18:40:00" "2023-09-02 18:20:00"
45600 14.68479 12.47075 14.18200 "2023-09-02 18:40:00" "2023-09-02 18:30:00"
45600 14.68479 12.47075 14.83800 "2023-09-02 18:40:00" "2023-09-02 18:40:00"
45600 14.68479 12.47075 15.28300 "2023-09-02 18:40:00" "2023-09-02 17:50:00"
45600 14.68479 12.47075 14.53100 "2023-09-02 18:40:00" "2023-09-02 18:00:00"
45600 14.68479 12.47075 15.15000 "2023-09-02 18:40:00" "2023-09-02 18:10:00"
45600 14.68479 12.47075 14.56400 "2023-09-02 18:40:00" "2023-09-02 18:20:00"
45600 14.68479 12.47075 14.18200 "2023-09-02 18:40:00" "2023-09-02 18:30:00"
45600 14.68479 12.47075 14.83800 "2023-09-02 18:40:00" "2023-09-02 18:40:00"
45600 14.68479 12.47075 15.28300 "2023-09-02 18:40:00" "2023-09-02 17:50:00"
45600 14.68479 12.47075 14.53100 "2023-09-02 18:40:00" "2023-09-02 18:00:00"
45600 14.68479 12.47075 15.15000 "2023-09-02 18:40:00" "2023-09-02 18:10:00"
45600 14.68479 12.47075 14.56400 "2023-09-02 18:40:00" "2023-09-02 18:20:00"
45600 14.68479 12.47075 14.18200 "2023-09-02 18:40:00" "2023-09-02 18:30:00"
45600 14.68479 12.47075 14.83800 "2023-09-02 18:40:00" "2023-09-02 18:40:00"
45600 14.68479 12.47075 15.28300 "2023-09-02 18:40:00" "2023-09-02 17:50:00"
45600 14.68479 12.47075 14.53100 "2023-09-02 18:40:00" "2023-09-02 18:00:00"
45600 14.68479 12.47075 15.15000 "2023-09-02 18:40:00" "2023-09-02 18:10:00"
45600 14.68479 12.47075 14.56400 "2023-09-02 18:40:00" "2023-09-02 18:20:00"
45600 14.68479 12.47075 14.18200 "2023-09-02 18:40:00" "2023-09-02 18:30:00"
45600 14.68479 12.47075 14.83800 "2023-09-02 18:40:00" "2023-09-02 18:40:00"
45600 14.68479 12.47075 15.28300 "2023-09-02 18:40:00" "2023-09-02 17:50:00"
45600 14.68479 12.47075 14.53100 "2023-09-02 18:40:00" "2023-09-02 18:00:00"
45600 14.68479 12.47075 15.15000 "2023-09-02 18:40:00" "2023-09-02 18:10:00"
45600 14.68479 12.47075 14.56400 "2023-09-02 18:40:00" "2023-09-02 18:20:00"
45600 14.68479 12.47075 14.18200 "2023-09-02 18:40:00" "2023-09-02 18:30:00"
45600 14.68479 12.47075 14.83800 "2023-09-02 18:40:00" "2023-09-02 18:40:00"
46200 14.41333 12.32837 14.53100 "2023-09-02 18:50:00" "2023-09-02 18:00:00"
46200 14.41333 12.32837 15.15000 "2023-09-02 18:50:00" "2023-09-02 18:10:00"
46200 14.41333 12.32837 14.56400 "2023-09-02 18:50:00" "2023-09-02 18:20:00"
46200 14.41333 12.32837 14.18200 "2023-09-02 18:50:00" "2023-09-02 18:30:00"
46200 14.41333 12.32837 14.83800 "2023-09-02 18:50:00" "2023-09-02 18:40:00"
46200 14.41333 12.32837 13.89300 "2023-09-02 18:50:00" "2023-09-02 18:50:00"
46200 14.41333 12.32837 14.53100 "2023-09-02 18:50:00" "2023-09-02 18:00:00"
46200 14.41333 12.32837 15.15000 "2023-09-02 18:50:00" "2023-09-02 18:10:00"
46200 14.41333 12.32837 14.56400 "2023-09-02 18:50:00" "2023-09-02 18:20:00"
46200 14.41333 12.32837 14.18200 "2023-09-02 18:50:00" "2023-09-02 18:30:00"
46200 14.41333 12.32837 14.83800 "2023-09-02 18:50:00" "2023-09-02 18:40:00"
46200 14.41333 12.32837 13.89300 "2023-09-02 18:50:00" "2023-09-02 18:50:00"
46200 14.41333 12.32837 14.53100 "2023-09-02 18:50:00" "2023-09-02 18:00:00"
46200 14.41333 12.32837 15.15000 "2023-09-02 18:50:00" "2023-09-02 18:10:00"
46200 14.41333 12.32837 14.56400 "2023-09-02 18:50:00" "2023-09-02 18:20:00"
46200 14.41333 12.32837 14.18200 "2023-09-02 18:50:00" "2023-09-02 18:30:00"
46200 14.41333 12.32837 14.83800 "2023-09-02 18:50:00" "2023-09-02 18:40:00"
46200 14.41333 12.32837 13.89300 "2023-09-02 18:50:00" "2023-09-02 18:50:00"
46200 14.41333 12.32837 14.53100 "2023-09-02 18:50:00" "2023-09-02 18:00:00"
46200 14.41333 12.32837 15.15000 "2023-09-02 18:50:00" "2023-09-02 18:10:00"
46200 14.41333 12.32837 14.56400 "2023-09-02 18:50:00" "2023-09-02 18:20:00"
46200 14.41333 12.32837 14.18200 "2023-09-02 18:50:00" "2023-09-02 18:30:00"
46200 14.41333 12.32837 14.83800 "2023-09-02 18:50:00" "2023-09-02 18:40:00"
46200 14.41333 12.32837 13.89300 "2023-09-02 18:50:00" "2023-09-02 18:50:00"
46200 14.41333 12.32837 14.53100 "2023-09-02 18:50:00" "2023-09-02 18:00:00"
46200 14.41333 12.32837 15.15000 "2023-09-02 18:50:00" "2023-09-02 18:10:00"
46200 14.41333 12.32837 14.56400 "2023-09-02 18:50:00" "2023-09-02 18:20:00"
46200 14.41333 12.32837 14.18200 "2023-09-02 18:50:00" "2023-09-02 18:30:00"
46200 14.41333 12.32837 14.83800 "2023-09-02 18:50:00" "2023-09-02 18:40:00"
46200 14.41333 12.32837 13.89300 "2023-09-02 18:50:00" "2023-09-02 18:50:00"
46200 14.41333 12.32837 14.53100 "2023-09-02 18:50:00" "2023-09-02 18:00:00"
46200 14.41333 12.32837 15.15000 "2023-09-02 18:50:00" "2023-09-02 18:10:00"
46200 14.41333 12.32837 14.56400 "2023-09-02 18:50:00" "2023-09-02 18:20:00"
46200 14.41333 12.32837 14.18200 "2023-09-02 18:50:00" "2023-09-02 18:30:00"
46200 14.41333 12.32837 14.83800 "2023-09-02 18:50:00" "2023-09-02 18:40:00"
46200 14.41333 12.32837 13.89300 "2023-09-02 18:50:00" "2023-09-02 18:50:00"
46800 14.04444 12.26173 15.15000 "2023-09-02 19:00:00" "2023-09-02 18:10:00"
46800 14.04444 12.26173 14.56400 "2023-09-02 19:00:00" "2023-09-02 18:20:00"
46800 14.04444 12.26173 14.18200 "2023-09-02 19:00:00" "2023-09-02 18:30:00"
46800 14.04444 12.26173 14.83800 "2023-09-02 19:00:00" "2023-09-02 18:40:00"
46800 14.04444 12.26173 13.89300 "2023-09-02 19:00:00" "2023-09-02 18:50:00"
46800 14.04444 12.26173 12.72900 "2023-09-02 19:00:00" "2023-09-02 19:00:00"
46800 14.04444 12.26173 15.15000 "2023-09-02 19:00:00" "2023-09-02 18:10:00"
46800 14.04444 12.26173 14.56400 "2023-09-02 19:00:00" "2023-09-02 18:20:00"
46800 14.04444 12.26173 14.18200 "2023-09-02 19:00:00" "2023-09-02 18:30:00"
46800 14.04444 12.26173 14.83800 "2023-09-02 19:00:00" "2023-09-02 18:40:00"
46800 14.04444 12.26173 13.89300 "2023-09-02 19:00:00" "2023-09-02 18:50:00"
46800 14.04444 12.26173 12.72900 "2023-09-02 19:00:00" "2023-09-02 19:00:00"
46800 14.04444 12.26173 15.15000 "2023-09-02 19:00:00" "2023-09-02 18:10:00"
46800 14.04444 12.26173 14.56400 "2023-09-02 19:00:00" "2023-09-02 18:20:00"
46800 14.04444 12.26173 14.18200 "2023-09-02 19:00:00" "2023-09-02 18:30:00"
46800 14.04444 12.26173 14.83800 "2023-09-02 19:00:00" "2023-09-02 18:40:00"
46800 14.04444 12.26173 13.89300 "2023-09-02 19:00:00" "2023-09-02 18:50:00"
46800 14.04444 12.26173 12.72900 "2023-09-02 19:00:00" "2023-09-02 19:00:00"
46800 14.04444 12.26173 15.15000 "2023-09-02 19:00:00" "2023-09-02 18:10:00"
46800 14.04444 12.26173 14.56400 "2023-09-02 19:00:00" "2023-09-02 18:20:00"
46800 14.04444 12.26173 14.18200 "2023-09-02 19:00:00" "2023-09-02 18:30:00"
46800 14.04444 12.26173 14.83800 "2023-09-02 19:00:00" "2023-09-02 18:40:00"
46800 14.04444 12.26173 13.89300 "2023-09-02 19:00:00" "2023-09-02 18:50:00"
46800 14.04444 12.26173 12.72900 "2023-09-02 19:00:00" "2023-09-02 19:00:00"
46800 14.04444 12.26173 15.15000 "2023-09-02 19:00:00" "2023-09-02 18:10:00"
46800 14.04444 12.26173 14.56400 "2023-09-02 19:00:00" "2023-09-02 18:20:00"
46800 14.04444 12.26173 14.18200 "2023-09-02 19:00:00" "2023-09-02 18:30:00"
46800 14.04444 12.26173 14.83800 "2023-09-02 19:00:00" "2023-09-02 18:40:00"
46800 14.04444 12.26173 13.89300 "2023-09-02 19:00:00" "2023-09-02 18:50:00"
46800 14.04444 12.26173 12.72900 "2023-09-02 19:00:00" "2023-09-02 19:00:00"
46800 14.04444 12.26173 15.15000 "2023-09-02 19:00:00" "2023-09-02 18:10:00"
46800 14.04444 12.26173 14.56400 "2023-09-02 19:00:00" "2023-09-02 18:20:00"
46800 14.04444 12.26173 14.18200 "2023-09-02 19:00:00" "2023-09-02 18:30:00"
46800 14.04444 12.26173 14.83800 "2023-09-02 19:00:00" "2023-09-02 18:40:00"
46800 14.04444 12.26173 13.89300 "2023-09-02 19:00:00" "2023-09-02 18:50:00"
46800 14.04444 12.26173 12.72900 "2023-09-02 19:00:00" "2023-09-02 19:00:00"
47400 13.55884 12.22425 14.56400 "2023-09-02 19:10:00" "2023-09-02 18:20:00"
47400 13.55884 12.22425 14.18200 "2023-09-02 19:10:00" "2023-09-02 18:30:00"
47400 13.55884 12.22425 14.83800 "2023-09-02 19:10:00" "2023-09-02 18:40:00"
47400 13.55884 12.22425 13.89300 "2023-09-02 19:10:00" "2023-09-02 18:50:00"
47400 13.55884 12.22425 12.72900 "2023-09-02 19:10:00" "2023-09-02 19:00:00"
47400 13.55884 12.22425 11.97400 "2023-09-02 19:10:00" "2023-09-02 19:10:00"
47400 13.55884 12.22425 14.56400 "2023-09-02 19:10:00" "2023-09-02 18:20:00"
47400 13.55884 12.22425 14.18200 "2023-09-02 19:10:00" "2023-09-02 18:30:00"
47400 13.55884 12.22425 14.83800 "2023-09-02 19:10:00" "2023-09-02 18:40:00"
47400 13.55884 12.22425 13.89300 "2023-09-02 19:10:00" "2023-09-02 18:50:00"
47400 13.55884 12.22425 12.72900 "2023-09-02 19:10:00" "2023-09-02 19:00:00"
47400 13.55884 12.22425 11.97400 "2023-09-02 19:10:00" "2023-09-02 19:10:00"
47400 13.55884 12.22425 14.56400 "2023-09-02 19:10:00" "2023-09-02 18:20:00"
47400 13.55884 12.22425 14.18200 "2023-09-02 19:10:00" "2023-09-02 18:30:00"
47400 13.55884 12.22425 14.83800 "2023-09-02 19:10:00" "2023-09-02 18:40:00"
47400 13.55884 12.22425 13.89300 "2023-09-02 19:10:00" "2023-09-02 18:50:00"
47400 13.55884 12.22425 12.72900 "2023-09-02 19:10:00" "2023-09-02 19:00:00"
47400 13.55884 12.22425 11.97400 "2023-09-02 19:10:00" "2023-09-02 19:10:00"
47400 13.55884 12.22425 14.56400 "2023-09-02 19:10:00" "2023-09-02 18:20:00"
47400 13.55884 12.22425 14.18200 "2023-09-02 19:10:00" "2023-09-02 18:30:00"
47400 13.55884 12.22425 14.83800 "2023-09-02 19:10:00" "2023-09-02 18:40:00"
47400 13.55884 12.22425 13.89300 "2023-09-02 19:10:00" "2023-09-02 18:50:00"
47400 13.55884 12.22425 12.72900 "2023-09-02 19:10:00" "2023-09-02 19:00:00"
47400 13.55884 12.22425 11.97400 "2023-09-02 19:10:00" "2023-09-02 19:10:00"
47400 13.55884 12.22425 14.56400 "2023-09-02 19:10:00" "2023-09-02 18:20:00"
47400 13.55884 12.22425 14.18200 "2023-09-02 19:10:00" "2023-09-02 18:30:00"
47400 13.55884 12.22425 14.83800 "2023-09-02 19:10:00" "2023-09-02 18:40:00"
47400 13.55884 12.22425 13.89300 "2023-09-02 19:10:00" "2023-09-02 18:50:00"
47400 13.55884 12.22425 12.72900 "2023-09-02 19:10:00" "2023-09-02 19:00:00"
47400 13.55884 12.22425 11.97400 "2023-09-02 19:10:00" "2023-09-02 19:10:00"
47400 13.55884 12.22425 14.56400 "2023-09-02 19:10:00" "2023-09-02 18:20:00"
47400 13.55884 12.22425 14.18200 "2023-09-02 19:10:00" "2023-09-02 18:30:00"
47400 13.55884 12.22425 14.83800 "2023-09-02 19:10:00" "2023-09-02 18:40:00"
47400 13.55884 12.22425 13.89300 "2023-09-02 19:10:00" "2023-09-02 18:50:00"
47400 13.55884 12.22425 12.72900 "2023-09-02 19:10:00" "2023-09-02 19:00:00"
47400 13.55884 12.22425 11.97400 "2023-09-02 19:10:00" "2023-09-02 19:10:00"
48000 13.45225 12.33799 14.18200 "2023-09-02 19:20:00" "2023-09-02 18:30:00"
48000 13.45225 12.33799 14.83800 "2023-09-02 19:20:00" "2023-09-02 18:40:00"
48000 13.45225 12.33799 13.89300 "2023-09-02 19:20:00" "2023-09-02 18:50:00"
48000 13.45225 12.33799 12.72900 "2023-09-02 19:20:00" "2023-09-02 19:00:00"
48000 13.45225 12.33799 11.97400 "2023-09-02 19:20:00" "2023-09-02 19:10:00"
48000 13.45225 12.33799 12.80200 "2023-09-02 19:20:00" "2023-09-02 19:20:00"
48000 13.45225 12.33799 14.18200 "2023-09-02 19:20:00" "2023-09-02 18:30:00"
48000 13.45225 12.33799 14.83800 "2023-09-02 19:20:00" "2023-09-02 18:40:00"
48000 13.45225 12.33799 13.89300 "2023-09-02 19:20:00" "2023-09-02 18:50:00"
48000 13.45225 12.33799 12.72900 "2023-09-02 19:20:00" "2023-09-02 19:00:00"
48000 13.45225 12.33799 11.97400 "2023-09-02 19:20:00" "2023-09-02 19:10:00"
48000 13.45225 12.33799 12.80200 "2023-09-02 19:20:00" "2023-09-02 19:20:00"
48000 13.45225 12.33799 14.18200 "2023-09-02 19:20:00" "2023-09-02 18:30:00"
48000 13.45225 12.33799 14.83800 "2023-09-02 19:20:00" "2023-09-02 18:40:00"
48000 13.45225 12.33799 13.89300 "2023-09-02 19:20:00" "2023-09-02 18:50:00"
48000 13.45225 12.33799 12.72900 "2023-09-02 19:20:00" "2023-09-02 19:00:00"
48000 13.45225 12.33799 11.97400 "2023-09-02 19:20:00" "2023-09-02 19:10:00"
48000 13.45225 12.33799 12.80200 "2023-09-02 19:20:00" "2023-09-02 19:20:00"
48000 13.45225 12.33799 14.18200 "2023-09-02 19:20:00" "2023-09-02 18:30:00"
48000 13.45225 12.33799 14.83800 "2023-09-02 19:20:00" "2023-09-02 18:40:00"
48000 13.45225 12.33799 13.89300 "2023-09-02 19:20:00" "2023-09-02 18:50:00"
48000 13.45225 12.33799 12.72900 "2023-09-02 19:20:00" "2023-09-02 19:00:00"
48000 13.45225 12.33799 11.97400 "2023-09-02 19:20:00" "2023-09-02 19:10:00"
48000 13.45225 12.33799 12.80200 "2023-09-02 19:20:00" "2023-09-02 19:20:00"
48000 13.45225 12.33799 14.18200 "2023-09-02 19:20:00" "2023-09-02 18:30:00"
48000 13.45225 12.33799 14.83800 "2023-09-02 19:20:00" "2023-09-02 18:40:00"
48000 13.45225 12.33799 13.89300 "2023-09-02 19:20:00" "2023-09-02 18:50:00"
48000 13.45225 12.33799 12.72900 "2023-09-02 19:20:00" "2023-09-02 19:00:00"
48000 13.45225 12.33799 11.97400 "2023-09-02 19:20:00" "2023-09-02 19:10:00"
48000 13.45225 12.33799 12.80200 "2023-09-02 19:20:00" "2023-09-02 19:20:00"
48000 13.45225 12.33799 14.18200 "2023-09-02 19:20:00" "2023-09-02 18:30:00"
48000 13.45225 12.33799 14.83800 "2023-09-02 19:20:00" "2023-09-02 18:40:00"
48000 13.45225 12.33799 13.89300 "2023-09-02 19:20:00" "2023-09-02 18:50:00"
48000 13.45225 12.33799 12.72900 "2023-09-02 19:20:00" "2023-09-02 19:00:00"
48000 13.45225 12.33799 11.97400 "2023-09-02 19:20:00" "2023-09-02 19:10:00"
48000 13.45225 12.33799 12.80200 "2023-09-02 19:20:00" "2023-09-02 19:20:00"
48600 13.39825 12.60091 14.83800 "2023-09-02 19:30:00" "2023-09-02 18:40:00"
48600 13.39825 12.60091 13.89300 "2023-09-02 19:30:00" "2023-09-02 18:50:00"
48600 13.39825 12.60091 12.72900 "2023-09-02 19:30:00" "2023-09-02 19:00:00"
48600 13.39825 12.60091 11.97400 "2023-09-02 19:30:00" "2023-09-02 19:10:00"
48600 13.39825 12.60091 12.80200 "2023-09-02 19:30:00" "2023-09-02 19:20:00"
48600 13.39825 12.60091 14.33600 "2023-09-02 19:30:00" "2023-09-02 19:30:00"
48600 13.39825 12.60091 14.83800 "2023-09-02 19:30:00" "2023-09-02 18:40:00"
48600 13.39825 12.60091 13.89300 "2023-09-02 19:30:00" "2023-09-02 18:50:00"
48600 13.39825 12.60091 12.72900 "2023-09-02 19:30:00" "2023-09-02 19:00:00"
48600 13.39825 12.60091 11.97400 "2023-09-02 19:30:00" "2023-09-02 19:10:00"
48600 13.39825 12.60091 12.80200 "2023-09-02 19:30:00" "2023-09-02 19:20:00"
48600 13.39825 12.60091 14.33600 "2023-09-02 19:30:00" "2023-09-02 19:30:00"
48600 13.39825 12.60091 14.83800 "2023-09-02 19:30:00" "2023-09-02 18:40:00"
48600 13.39825 12.60091 13.89300 "2023-09-02 19:30:00" "2023-09-02 18:50:00"
48600 13.39825 12.60091 12.72900 "2023-09-02 19:30:00" "2023-09-02 19:00:00"
48600 13.39825 12.60091 11.97400 "2023-09-02 19:30:00" "2023-09-02 19:10:00"
48600 13.39825 12.60091 12.80200 "2023-09-02 19:30:00" "2023-09-02 19:20:00"
48600 13.39825 12.60091 14.33600 "2023-09-02 19:30:00" "2023-09-02 19:30:00"
48600 13.39825 12.60091 14.83800 "2023-09-02 19:30:00" "2023-09-02 18:40:00"
48600 13.39825 12.60091 13.89300 "2023-09-02 19:30:00" "2023-09-02 18:50:00"
48600 13.39825 12.60091 12.72900 "2023-09-02 19:30:00" "2023-09-02 19:00:00"
48600 13.39825 12.60091 11.97400 "2023-09-02 19:30:00" "2023-09-02 19:10:00"
48600 13.39825 12.60091 12.80200 "2023-09-02 19:30:00" "2023-09-02 19:20:00"
48600 13.39825 12.60091 14.33600 "2023-09-02 19:30:00" "2023-09-02 19:30:00"
48600 13.39825 12.60091 14.83800 "2023-09-02 19:30:00" "2023-09-02 18:40:00"
48600 13.39825 12.60091 13.89300 "2023-09-02 19:30:00" "2023-09-02 18:50:00"
48600 13.39825 12.60091 12.72900 "2023-09-02 19:30:00" "2023-09-02 19:00:00"
48600 13.39825 12.60091 11.97400 "2023-09-02 19:30:00" "2023-09-02 19:10:00"
48600 13.39825 12.60091 12.80200 "2023-09-02 19:30:00" "2023-09-02 19:20:00"
48600 13.39825 12.60091 14.33600 "2023-09-02 19:30:00" "2023-09-02 19:30:00"
48600 13.39825 12.60091 14.83800 "2023-09-02 19:30:00" "2023-09-02 18:40:00"
48600 13.39825 12.60091 13.89300 "2023-09-02 19:30:00" "2023-09-02 18:50:00"
48600 13.39825 12.60091 12.72900 "2023-09-02 19:30:00" "2023-09-02 19:00:00"
48600 13.39825 12.60091 11.97400 "2023-09-02 19:30:00" "2023-09-02 19:10:00"
48600 13.39825 12.60091 12.80200 "2023-09-02 19:30:00" "2023-09-02 19:20:00"
48600 13.39825 12.60091 14.33600 "2023-09-02 19:30:00" "2023-09-02 19:30:00"
49200 13.31279 11.91191 13.89300 "2023-09-02 19:40:00" "2023-09-02 18:50:00"
49200 13.31279 11.91191 12.72900 "2023-09-02 19:40:00" "2023-09-02 19:00:00"
49200 13.31279 11.91191 11.97400 "2023-09-02 19:40:00" "2023-09-02 19:10:00"
49200 13.31279 11.91191 12.80200 "2023-09-02 19:40:00" "2023-09-02 19:20:00"
49200 13.31279 11.91191 14.33600 "2023-09-02 19:40:00" "2023-09-02 19:30:00"
49200 13.31279 11.91191 14.10100 "2023-09-02 19:40:00" "2023-09-02 19:40:00"
49200 13.31279 11.91191 13.89300 "2023-09-02 19:40:00" "2023-09-02 18:50:00"
49200 13.31279 11.91191 12.72900 "2023-09-02 19:40:00" "2023-09-02 19:00:00"
49200 13.31279 11.91191 11.97400 "2023-09-02 19:40:00" "2023-09-02 19:10:00"
49200 13.31279 11.91191 12.80200 "2023-09-02 19:40:00" "2023-09-02 19:20:00"
49200 13.31279 11.91191 14.33600 "2023-09-02 19:40:00" "2023-09-02 19:30:00"
49200 13.31279 11.91191 14.10100 "2023-09-02 19:40:00" "2023-09-02 19:40:00"
49200 13.31279 11.91191 13.89300 "2023-09-02 19:40:00" "2023-09-02 18:50:00"
49200 13.31279 11.91191 12.72900 "2023-09-02 19:40:00" "2023-09-02 19:00:00"
49200 13.31279 11.91191 11.97400 "2023-09-02 19:40:00" "2023-09-02 19:10:00"
49200 13.31279 11.91191 12.80200 "2023-09-02 19:40:00" "2023-09-02 19:20:00"
49200 13.31279 11.91191 14.33600 "2023-09-02 19:40:00" "2023-09-02 19:30:00"
49200 13.31279 11.91191 14.10100 "2023-09-02 19:40:00" "2023-09-02 19:40:00"
49200 13.31279 11.91191 13.89300 "2023-09-02 19:40:00" "2023-09-02 18:50:00"
49200 13.31279 11.91191 12.72900 "2023-09-02 19:40:00" "2023-09-02 19:00:00"
49200 13.31279 11.91191 11.97400 "2023-09-02 19:40:00" "2023-09-02 19:10:00"
49200 13.31279 11.91191 12.80200 "2023-09-02 19:40:00" "2023-09-02 19:20:00"
49200 13.31279 11.91191 14.33600 "2023-09-02 19:40:00" "2023-09-02 19:30:00"
49200 13.31279 11.91191 14.10100 "2023-09-02 19:40:00" "2023-09-02 19:40:00"
49200 13.31279 11.91191 13.89300 "2023-09-02 19:40:00" "2023-09-02 18:50:00"
49200 13.31279 11.91191 12.72900 "2023-09-02 19:40:00" "2023-09-02 19:00:00"
49200 13.31279 11.91191 11.97400 "2023-09-02 19:40:00" "2023-09-02 19:10:00"
49200 13.31279 11.91191 12.80200 "2023-09-02 19:40:00" "2023-09-02 19:20:00"
49200 13.31279 11.91191 14.33600 "2023-09-02 19:40:00" "2023-09-02 19:30:00"
